"","fnest_id","feeding_ranef","feeding_ranef_sd","feeding_blups","feeding_expontd_blups"
"1","bluecloud 17",-0.115813181687672,0.123044977251724,2.52414028619254,12.4801612832178
"2","cooks 18",-0.0411230982682734,0.121550119492544,2.59883036961194,13.4479996437036
"3","cooks 6",0.0856380664028773,0.125259510848569,2.72559153428309,15.2654412884675
"4","grizz 102",-0.00710412359967352,0.122897957235121,2.63284934428053,13.9133574215025
"5","grizz 114",0.0111909260292789,0.122517113031775,2.65114439390949,14.1702457128621
"6","grizz 123",0.0451520007107452,0.122117081229223,2.68510546859095,14.6597474416372
"7","grizz 139",-0.055675551515728,0.123196632987203,2.58427791636448,13.253715342902
"8","grizz 140",0.116122973845306,0.123509581694661,2.75607644172551,15.7379727986645
"9","grizz 151",0.0473914657737655,0.126251485903832,2.68734493365397,14.6926142221327
"10","grizz 154",-0.0140619113966321,0.125862497706143,2.62589155648358,13.8168872317579
"11","grizz 156",-0.0300381351852523,0.122991646767829,2.60991533269496,13.5978995055855
"12","grizz 161",-0.0334461858267552,0.126334713509088,2.60650728205345,13.5516360543232
"13","grizz 46",-0.00425761871117089,0.123819925965187,2.63569584916904,13.9530182820554
"14","grizz 54",0.0665729066036762,0.121892267873195,2.70652637448389,14.9771600072392
"15","grizz 6",0.0345482536628297,0.122749495685243,2.67450172154304,14.5051204495802
"16","grizz 61",-0.00277134938787166,0.122679994283719,2.63718211849234,13.9737716438175
"17","grizz 68",-0.0205635147885896,0.122507047539659,2.61938995309162,13.7273467047752
"18","grizz 86",-0.0597894867204777,0.122632458625311,2.58016398115973,13.1993024191229
"19","hoops 11",-0.0947774784052818,0.122393167035954,2.54517598947493,12.7454709574404
"20","hoops 2",0.066205054269447,0.125856723364568,2.70615852214966,14.9716516371659
"21","schaaps 110",0.0354299252431043,0.126216931438111,2.67538339312331,14.5179148414461
"22","schaaps 24",-0.0319941525571453,0.12181559969836,2.60795931532306,13.5713277737878
"23","schaaps 59",0.0241140135325828,0.121428100052125,2.66406748141279,14.3545574111628
"24","schaaps 71",-0.0727959889420776,0.122417309654788,2.56715747893813,13.0287372952387
"25","schaaps 74",0.00249419486924528,0.122477817766467,2.64244766274945,14.0475452153965
"26","schaaps 98",-0.029452905134512,0.122896748789659,2.6105005627457,13.6058597340584
"27","urbanfarm 4",-0.00851053095473625,0.122293467156963,2.63144293692547,13.8938033270255
"28","urbanfarm 5",0.0184354207194731,0.125843536128856,2.65838888859968,14.2732747286636
"29","vanloon 1",0.0892036911315843,0.12263047677009,2.72915715901179,15.3199692788248
"30","vanloon 11",-0.0334512384051139,0.121331337308204,2.60650222947509,13.5515675837931
"31","vanloon 46",0.023146672429686,0.121413145635551,2.66310014030989,14.3406783717301
"32","bluecloud",-9.50240525307347e-11,3.84595528459275e-06,2.63995346778518,14.0125515575039
"33","cooks",3.65242765010475e-11,3.84595528435617e-06,2.63995346791673,14.0125515593472
"34","grizz",7.65280339240071e-11,3.84595528119315e-06,2.63995346795674,14.0125515599078
"35","hoops",-2.3443510422985e-11,3.84595528438729e-06,2.63995346785677,14.0125515585069
"36","schaaps",-5.92437177257471e-11,3.84595528330862e-06,2.63995346782096,14.0125515580052
"37","urbanfarm",8.14331523081274e-12,3.84595528438487e-06,2.63995346788835,14.0125515589495
"38","vanloon",6.47362804839138e-11,3.84595528400686e-06,2.63995346794494,14.0125515597425
