"","year","month","day","max_temp_f","min_temp_f","precip_in","fmonth"
"1",2021,6,1,68,39,0.03,"6"
"2",2021,6,2,74,44,0,"6"
"3",2021,6,3,82,46,0,"6"
"4",2021,6,4,87,50,0,"6"
"5",2021,6,5,91,53,0,"6"
"6",2021,6,6,88,59,0.01,"6"
"7",2021,6,7,85,50,NA,"6"
"8",2021,6,8,88,51,0,"6"
"9",2021,6,9,89,54,0,"6"
"10",2021,6,10,91,53,0,"6"
"11",2021,6,11,90,58,0,"6"
"12",2021,6,12,86,46,0,"6"
"13",2021,6,13,92,54,0,"6"
"14",2021,6,14,94,57,0,"6"
"15",2021,6,15,96,57,0,"6"
"16",2021,6,16,99,62,NA,"6"
"17",2021,6,17,99,59,0,"6"
"18",2021,6,18,91,65,0,"6"
"19",2021,6,19,89,58,0.01,"6"
"20",2021,6,20,81,64,0,"6"
"21",2021,6,21,75,50,0.23,"6"
"22",2021,6,22,93,48,0,"6"
"23",2021,6,23,96,61,0,"6"
"24",2021,6,24,85,63,0.03,"6"
"25",2021,6,25,77,53,0.44,"6"
"26",2021,6,26,69,53,1.03,"6"
"27",2021,6,27,72,50,0.01,"6"
"28",2021,6,28,72,51,0.2,"6"
"29",2021,6,29,76,49,0,"6"
"30",2021,6,30,81,50,0,"6"
"31",2021,7,1,77,57,1.36,"7"
"32",2021,7,2,83,52,0.04,"7"
"33",2021,7,3,87,55,0.19,"7"
"34",2021,7,4,85,57,0,"7"
"35",2021,7,5,86,56,NA,"7"
"36",2021,7,6,83,59,0,"7"
"37",2021,7,7,87,56,0.2,"7"
"38",2021,7,8,98,56,0,"7"
"39",2021,7,9,94,67,0,"7"
"40",2021,7,10,91,58,0,"7"
"41",2021,7,11,84,52,0,"7"
"42",2021,7,12,88,52,0,"7"
"43",2021,7,13,87,62,0.15,"7"
"44",2021,7,14,78,58,0.01,"7"
"45",2021,7,15,82,52,0.02,"7"
"46",2021,7,16,90,54,NA,"7"
"47",2021,7,17,91,56,0,"7"
"48",2021,7,18,91,56,0,"7"
"49",2021,7,19,92,58,0,"7"
"50",2021,7,20,93,56,0,"7"
"51",2021,7,21,89,61,0,"7"
"52",2021,7,22,94,61,0,"7"
"53",2021,7,23,93,65,0.12,"7"
"54",2021,7,24,86,62,0.01,"7"
"55",2021,7,25,90,61,0,"7"
"56",2021,7,26,91,56,0.6,"7"
"57",2021,7,27,93,55,0,"7"
"58",2021,7,28,95,58,0,"7"
"59",2021,7,29,89,58,0,"7"
"60",2021,7,30,91,61,0.02,"7"
"61",2021,7,31,76,61,0.48,"7"
